Question ID,Question Title,Question Slug,Difficulty Level,Success Rate,Total Submissions,Total Accepted,Likes,Dislikes,Topic Tagged text,Topic Tagged ID,Company Tags,Hints,Similar Questions ID,Similar Questions Text,Code Snippets (Python3 or All),Question Text
11,Container With Most Water,container-with-most-water,Medium,57.8,7191067,4158444,31475,2018,"Array,Two Pointers,Greedy","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjE3",None,"If you simulate the problem, it will be O(n^2) which is not efficient. Try to use two-pointers. Set one pointer to the left and one to the right of the array. Always move the pointer that points to the lower line. How can you calculate the amount of water at each step?","42,2517,2560","Trapping Rain Water,Maximum Tastiness of Candy Basket,House Robber IV",,"You are given an integer array height of length n. There are n vertical lines drawn such that the two endpoints of the ith line are (i, 0) and (i, height[i]). Find two lines that together with the x-axis form a container, such that the container contains the most water. Return the maximum amount of water a container can store. Notice that you may not slant the container. "
12,Integer to Roman,integer-to-roman,Medium,68.7,2558633,1757625,7889,5666,"Hash Table,Math,String","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEw",None,,"13,273","Roman to Integer,Integer to English Words",,"Seven different symbols represent Roman numerals with the following values: Roman numerals are formed by appending the conversions of decimal place values from highest to lowest. Converting a decimal place value into a Roman numeral has the following rules: Given an integer, convert it to a Roman numeral. "
13,Roman to Integer,roman-to-integer,Easy,64.9,7545237,4898137,16000,1103,"Hash Table,Math,String","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEw",None,Problem is simpler to solve by working the string from back to front and using a map.,12,Integer to Roman,,"Roman numerals are represented by seven different symbols: I, V, X, L, C, D and M. For example, 2 is written as II in Roman numeral, just two ones added together. 12 is written as XII, which is simply X + II. The number 27 is written as XXVII, which is XX + V + II. Roman numerals are usually written largest to smallest from left to right. However, the numeral for four is not IIII. Instead, the number four is written as IV. Because the one is before the five we subtract it making four. The same principle applies to the number nine, which is written as IX. There are six instances where subtraction is used: Given a roman numeral, convert it to an integer. "
14,Longest Common Prefix,longest-common-prefix,Easy,45.5,10111113,4604032,19336,4744,String,VG9waWNUYWdOb2RlOjEw,None,,"2996,3043,3093,3460","Smallest Missing Integer Greater Than Sequential Prefix Sum,Find the Length of the Longest Common Prefix,Longest Common Suffix Queries,Longest Common Prefix After at Most One Removal",,"Write a function to find the longest common prefix string amongst an array of strings. If there is no common prefix, return an empty string """". "
15,3Sum,3sum,Medium,37.1,12950767,4808015,33176,3112,"Array,Two Pointers,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjYxMDQ5",None,"So, we essentially need to find three numbers x, y, and z such that they add up to the given value. If we fix one of the numbers say x, we are left with the two-sum problem at hand! For the two-sum problem, if we fix one of the numbers, say x, we have to scan the entire array to find the next number y, which is value - x where value is the input parameter. Can we change our array somehow so that this search becomes faster? The second train of thought for two-sum is, without changing the array, can we use additional space somehow? Like maybe a hash map to speed up the search?","1,16,18,259,2367,2908,2909","Two Sum,3Sum Closest,4Sum,3Sum Smaller,Number of Arithmetic Triplets,Minimum Sum of Mountain Triplets I,Minimum Sum of Mountain Triplets II",,"Given an integer array nums, return all the triplets [nums[i], nums[j], nums[k]] such that i != j, i != k, and j != k, and nums[i] + nums[j] + nums[k] == 0. Notice that the solution set must not contain duplicate triplets. "
16,3Sum Closest,3sum-closest,Medium,46.9,3224142,1512873,11024,596,"Array,Two Pointers,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjYxMDQ5",None,,"15,259","3Sum,3Sum Smaller",,"Given an integer array nums of length n and an integer target, find three integers in nums such that the sum is closest to target. Return the sum of the three integers. You may assume that each input would have exactly one solution. "
17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,Medium,63.9,4042559,2584073,19854,1074,"Hash Table,String,Backtracking","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE0",None,,"22,39,401,2266,3014,3016","Generate Parentheses,Combination Sum,Binary Watch,Count Number of Texts,Minimum Number of Pushes to Type Word I,Minimum Number of Pushes to Type Word II",,"Given a string containing digits from 2-9 inclusive, return all possible letter combinations that the number could represent. Return the answer in any order. A mapping of digits to letters (just like on the telephone buttons) is given below. Note that 1 does not map to any letters. "
18,4Sum,4sum,Medium,38.3,3433971,1314679,12124,1469,"Array,Two Pointers,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjYxMDQ5",None,,"1,15,454,2122","Two Sum,3Sum,4Sum II,Count Special Quadruplets",,"Given an array nums of n integers, return an array of all the unique quadruplets [nums[a], nums[b], nums[c], nums[d]] such that: You may return the answer in any order. "
19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,Medium,49.0,7189335,3526324,20098,862,"Linked List,Two Pointers","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjk=",None,Maintain two pointers and update one with a delay of n steps.,"528,1618,2216","Swapping Nodes in a Linked List,Delete N Nodes After M Nodes of a Linked List,Delete the Middle Node of a Linked List",,"Given the head of a linked list, remove the nth node from the end of the list and return its head. "
20,Valid Parentheses,valid-parentheses,Easy,42.4,14585447,6179543,25960,1888,"String,Stack","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE1",None,"Use a stack of characters. When you encounter an opening bracket, push it to the top of the stack. When you encounter a closing bracket, check if the top of the stack was the opening for it. If yes, pop it from the stack. Otherwise, return false.","22,32,301,1045,2221,2337","Generate Parentheses,Longest Valid Parentheses,Remove Invalid Parentheses,Check If Word Is Valid After Substitutions,Check if a Parentheses String Can Be Valid,Move Pieces to Obtain a String",,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if: "
21,Merge Two Sorted Lists,merge-two-sorted-lists,Easy,66.9,7957582,5322381,23469,2304,"Linked List,Recursion","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjMx",None,,"23,88,148,244,1774,2071,2570","Merge k Sorted Lists,Merge Sorted Array,Sort List,Shortest Word Distance II,Add Two Polynomials Represented as Linked Lists,Longest Common Subsequence Between Sorted Arrays,Merge Two 2D Arrays by Summing Values",,You are given the heads of two sorted linked lists list1 and list2. Merge the two lists into one sorted list. The list should be made by splicing together the nodes of the first two lists. Return the head of the merged linked list.
22,Generate Parentheses,generate-parentheses,Medium,77.2,3113177,2402963,22272,1034,"String,Dynamic Programming,Backtracking","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE0",None,,"17,20,2221","Letter Combinations of a Phone Number,Valid Parentheses,Check if a Parentheses String Can Be Valid",,"Given n pairs of parentheses, write a function to generate all combinations of well-formed parentheses. "
23,Merge k Sorted Lists,merge-k-sorted-lists,Hard,56.9,4454058,2532371,20431,760,"Linked List,Divide and Conquer,Heap (Priority Queue),Merge Sort","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjEy,VG9waWNUYWdOb2RlOjYxMDUw,VG9waWNUYWdOb2RlOjYxMDUx",None,,"21,264,2411","Merge Two Sorted Lists,Ugly Number II,Smallest Subarrays With Maximum Bitwise OR",,"You are given an array of k linked-lists lists, each linked-list is sorted in ascending order. Merge all the linked-lists into one sorted linked-list and return it. "
24,Swap Nodes in Pairs,swap-nodes-in-pairs,Medium,67.3,2453003,1649989,12555,486,"Linked List,Recursion","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjMx",None,,"25,528","Reverse Nodes in k-Group,Swapping Nodes in a Linked List",,"Given a linked list, swap every two adjacent nodes and return its head. You must solve the problem without modifying the values in the list's nodes (i.e., only nodes themselves may be changed.) "
25,Reverse Nodes in k-Group,reverse-nodes-in-k-group,Hard,63.1,1978059,1248805,14697,754,"Linked List,Recursion","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjMx",None,,"24,528,2196","Swap Nodes in Pairs,Swapping Nodes in a Linked List,Reverse Nodes in Even Length Groups",,"Given the head of a linked list, reverse the nodes of the list k at a time, and return the modified list. k is a positive integer and is less than or equal to the length of the linked list. If the number of nodes is not a multiple of k then left-out nodes, in the end, should remain as it is. You may not alter the values in the list's nodes, only nodes themselves may be changed. "
26,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,Easy,60.4,10476144,6330238,16924,19870,"Array,Two Pointers","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=",None,"In this problem, the key point to focus on is the input array being sorted. As far as duplicate elements are concerned, what is their positioning in the array when the given array is sorted? Look at the image below for the answer. If we know the position of one of the elements, do we also know the positioning of all the duplicate elements? We need to modify the array in-place and the size of the final array would potentially be smaller than the size of the input array. So, we ought to use a two-pointer approach here. One, that would keep track of the current element in the original array and another one for just the unique elements. Essentially, once an element is encountered, you simply need to bypass its duplicates and move on to the next unique element.","27,80,2460,2615","Remove Element,Remove Duplicates from Sorted Array II,Apply Operations to an Array,Sum of Distances",,"Given an integer array nums sorted in non-decreasing order, remove the duplicates in-place such that each unique element appears only once. The relative order of the elements should be kept the same. Then return the number of unique elements in nums. Consider the number of unique elements of nums to be k, to get accepted, you need to do the following things: Custom Judge: The judge will test your solution with the following code: If all assertions pass, then your solution will be accepted. "
27,Remove Element,remove-element,Easy,60.1,7120003,4277645,3939,4844,"Array,Two Pointers","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=",None,"The problem statement clearly asks us to modify the array in-place and it also says that the element beyond the new length of the array can be anything. Given an element, we need to remove all the occurrences of it from the array. We don't technically need to remove that element per-say, right? We can move all the occurrences of this element to the end of the array. Use two pointers! Yet another direction of thought is to consider the elements to be removed as non-existent. In a single pass, if we keep copying the visible elements in-place, that should also solve this problem for us.","26,203,283","Remove Duplicates from Sorted Array,Remove Linked List Elements,Move Zeroes",,"Given an integer array nums and an integer val, remove all occurrences of val in nums in-place. The order of the elements may be changed. Then return the number of elements in nums which are not equal to val. Consider the number of elements in nums which are not equal to val be k, to get accepted, you need to do the following things: Custom Judge: The judge will test your solution with the following code: If all assertions pass, then your solution will be accepted. "
28,Implement strStr(),implement-strstr,,0.0,0,0,0,0,"Two Pointers,String,String Matching","VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDUy",None,,,,,
29,Divide Two Integers,divide-two-integers,Medium,18.4,5176813,953715,5647,15115,"Math,Bit Manipulation","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjE5",None,,,,,"Given two integers dividend and divisor, divide two integers without using multiplication, division, and mod operator. The integer division should truncate toward zero, which means losing its fractional part. For example, 8.345 would be truncated to 8, and -2.7335 would be truncated to -2. Return the quotient after dividing dividend by divisor. Note: Assume we are dealing with an environment that could only store integers within the 32-bit signed integer range: [−231, 231 − 1]. For this problem, if the quotient is strictly greater than 231 - 1, then return 231 - 1, and if the quotient is strictly less than -231, then return -231. "
30,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,Hard,33.0,1782094,588424,2262,368,"Hash Table,String,Sliding Window","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjU1ODIx",None,,76,Minimum Window Substring,,You are given a string s and an array of strings words. All the strings of words are of the same length. A concatenated string is a string that exactly contains all the strings of any permutation of words concatenated. Return an array of the starting indices of all the concatenated substrings in s. You can return the answer in any order.
31,Next Permutation,next-permutation,Medium,43.1,4298721,1853705,19999,4943,"Array,Two Pointers","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=",None,,"46,47,60,267,1978","Permutations,Permutations II,Permutation Sequence,Palindrome Permutation II,Minimum Adjacent Swaps to Reach the Kth Smallest Number",,"A permutation of an array of integers is an arrangement of its members into a sequence or linear order. The next permutation of an array of integers is the next lexicographically greater permutation of its integer. More formally, if all the permutations of the array are sorted in one container according to their lexicographical order, then the next permutation of that array is the permutation that follows it in the sorted container. If such arrangement is not possible, the array must be rearranged as the lowest possible order (i.e., sorted in ascending order). Given an array of integers nums, find the next permutation of nums. The replacement must be in place and use only constant extra memory. "
32,Longest Valid Parentheses,longest-valid-parentheses,Hard,36.4,2524427,918329,12857,437,"String,Dynamic Programming,Stack","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE1",None,,20,Valid Parentheses,,"Given a string containing just the characters '(' and ')', return the length of the longest valid (well-formed) parentheses substring. "
33,Search in Rotated Sorted Array,search-in-rotated-sorted-array,Medium,42.9,8506513,3648444,28177,1708,"Array,Binary Search","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx",None,,"81,153,2273","Search in Rotated Sorted Array II,Find Minimum in Rotated Sorted Array,Pour Water Between Buckets to Make Water Levels Equal",,"There is an integer array nums sorted in ascending order (with distinct values). Prior to being passed to your function, nums is possibly rotated at an unknown pivot index k (1 <= k < nums.length) such that the resulting array is [nums[k], nums[k+1], ..., nums[n-1], nums[0], nums[1], ..., nums[k-1]] (0-indexed). For example, [0,1,2,4,5,6,7] might be rotated at pivot index 3 and become [4,5,6,7,0,1,2]. Given the array nums after the possible rotation and an integer target, return the index of target if it is in nums, or -1 if it is not in nums. You must write an algorithm with O(log n) runtime complexity. "
34,Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array,Medium,46.9,5801115,2720409,21960,581,"Array,Binary Search","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx",None,,"278,2165,2210","First Bad Version,Plates Between Candles,Find Target Indices After Sorting Array",,"Given an array of integers nums sorted in non-decreasing order, find the starting and ending position of a given target value. If target is not found in the array, return [-1, -1]. You must write an algorithm with O(log n) runtime complexity. "
35,Search Insert Position,search-insert-position,Easy,49.1,7918862,3886071,17547,830,"Array,Binary Search","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx",None,,"278,3065","First Bad Version,Minimum Operations to Exceed Threshold Value I",,"Given a sorted array of distinct integers and a target value, return the index if the target is found. If not, return the index where it would be if it were inserted in order. You must write an algorithm with O(log n) runtime complexity. "
36,Valid Sudoku,valid-sudoku,Medium,62.3,3244719,2022308,11575,1207,"Array,Hash Table,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjYxMDUz",None,,"37,2254","Sudoku Solver,Check if Every Row and Column Contains All Numbers",,Determine if a 9 x 9 Sudoku board is valid. Only the filled cells need to be validated according to the following rules: Note:
37,Sudoku Solver,sudoku-solver,Hard,64.0,1225835,783993,10244,297,"Array,Backtracking,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE0,VG9waWNUYWdOb2RlOjYxMDUz",None,,"36,1022","Valid Sudoku,Unique Paths III",,Write a program to solve a Sudoku puzzle by filling the empty cells. A sudoku solution must satisfy all of the following rules: The '.' character indicates empty cells.
38,Count and Say,count-and-say,Medium,60.6,2041399,1236403,4776,8863,String,VG9waWNUYWdOb2RlOjEw,None,"Create a helper function that maps an integer to pairs of its digits and their frequencies. For example, if you call this function with ""223314444411"", then it maps it to an array of pairs [[2,2], [3,2], [1,1], [4,5], [1, 2]]. Create another helper function that takes the array of pairs and creates a new integer. For example, if you call this function with [[2,2], [3,2], [1,1], [4,5], [1, 2]], it should create ""22""+""23""+""11""+""54""+""21"" = ""2223115421"". Now, with the two helper functions, you can start with ""1"" and call the two functions alternatively n-1 times. The answer is the last integer you will obtain.","271,443","Encode and Decode Strings,String Compression",,"The count-and-say sequence is a sequence of digit strings defined by the recursive formula: Run-length encoding (RLE) is a string compression method that works by replacing consecutive identical characters (repeated 2 or more times) with the concatenation of the character and the number marking the count of the characters (length of the run). For example, to compress the string ""3322251"" we replace ""33"" with ""23"", replace ""222"" with ""32"", replace ""5"" with ""15"" and replace ""1"" with ""11"". Thus the compressed string becomes ""23321511"". Given a positive integer n, return the nth element of the count-and-say sequence. "
39,Combination Sum,combination-sum,Medium,74.7,3464704,2589534,19964,477,"Array,Backtracking","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE0",None,,"17,40,77,216,254,377,3183","Letter Combinations of a Phone Number,Combination Sum II,Combinations,Combination Sum III,Factor Combinations,Combination Sum IV,The Number of Ways to Make the Sum",,"Given an array of distinct integers candidates and a target integer target, return a list of all unique combinations of candidates where the chosen numbers sum to target. You may return the combinations in any order. The same number may be chosen from candidates an unlimited number of times. Two combinations are unique if the frequency of at least one of the chosen numbers is different. The test cases are generated such that the number of unique combinations that sum up to target is less than 150 combinations for the given input. "
40,Combination Sum II,combination-sum-ii,Medium,57.7,2442303,1409733,11638,349,"Array,Backtracking","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE0",None,,39,Combination Sum,,"Given a collection of candidate numbers (candidates) and a target number (target), find all unique combinations in candidates where the candidate numbers sum to target. Each number in candidates may only be used once in the combination. Note: The solution set must not contain duplicate combinations. "
41,First Missing Positive,first-missing-positive,Hard,41.1,3613986,1486102,17602,1928,"Array,Hash Table","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=",None,Think about how you would solve the problem in non-constant space.  Can you apply that logic to the existing space? We don't care about duplicates or non-positive integers Remember that O(2n) = O(n),"268,287,448,770,2336,2554,2598,2557,2996","Missing Number,Find the Duplicate Number,Find All Numbers Disappeared in an Array,Couples Holding Hands,Smallest Number in Infinite Set,Maximum Number of Integers to Choose From a Range I,Smallest Missing Non-negative Integer After Operations,Maximum Number of Integers to Choose From a Range II,Smallest Missing Integer Greater Than Sequential Prefix Sum",,Given an unsorted integer array nums. Return the smallest positive integer that is not present in nums. You must implement an algorithm that runs in O(n) time and uses O(1) auxiliary space.
42,Trapping Rain Water,trapping-rain-water,Hard,65.2,4415876,2877959,34287,607,"Array,Two Pointers,Dynamic Programming,Stack,Monotonic Stack","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjYxMDU0",None,,"11,238,407,756,2874","Container With Most Water,Product of Array Except Self,Trapping Rain Water II,Pour Water,Maximum Value of an Ordered Triplet II",,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining. "
43,Multiply Strings,multiply-strings,Medium,42.3,2329577,985973,7402,3548,"Math,String,Simulation","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDU1",None,,"2,66,67,415,2288","Add Two Numbers,Plus One,Add Binary,Add Strings,Apply Discount to Prices",,"Given two non-negative integers num1 and num2 represented as strings, return the product of num1 and num2, also represented as a string. Note: You must not use any built-in BigInteger library or convert the inputs to integer directly. "
44,Wildcard Matching,wildcard-matching,Hard,30.0,2429467,727875,8707,389,"String,Dynamic Programming,Greedy,Recursion","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjMx",None,,"10,3407","Regular Expression Matching,Substring Matching Pattern",,"Given an input string (s) and a pattern (p), implement wildcard pattern matching with support for '?' and '*' where: The matching should cover the entire input string (not partial). "
45,Jump Game II,jump-game-ii,Medium,41.5,4228347,1756537,15608,663,"Array,Dynamic Programming,Greedy","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE3",None,,"55,1428,2001,2297,2617,2770,2786","Jump Game,Jump Game III,Jump Game VII,Jump Game VIII,Minimum Number of Visited Cells in a Grid,Maximum Number of Jumps to Reach the Last Index,Visit Array Positions to Maximize Score",,"You are given a 0-indexed array of integers nums of length n. You are initially positioned at nums[0]. Each element nums[i] represents the maximum length of a forward jump from index i. In other words, if you are at nums[i], you can jump to any nums[i + j] where: Return the minimum number of jumps to reach nums[n - 1]. The test cases are generated such that you can reach nums[n - 1]. "
46,Permutations,permutations,Medium,80.7,3268274,2637592,20008,357,"Array,Backtracking","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE0",None,,"31,47,60,77","Next Permutation,Permutations II,Permutation Sequence,Combinations",,"Given an array nums of distinct integers, return all the possible permutations. You can return the answer in any order. "
47,Permutations II,permutations-ii,Medium,61.6,1815410,1119109,8839,155,"Array,Backtracking","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE0",None,,"31,46,267,1038","Next Permutation,Permutations,Palindrome Permutation II,Number of Squareful Arrays",,"Given a collection of numbers, nums, that might contain duplicates, return all possible unique permutations in any order. "
48,Rotate Image,rotate-image,Medium,78.0,2989490,2330566,18787,901,"Array,Math,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjYxMDUz",None,,2015,Determine Whether Matrix Can Be Obtained By Rotation,,"You are given an n x n 2D matrix representing an image, rotate the image by 90 degrees (clockwise). You have to rotate the image in-place, which means you have to modify the input 2D matrix directly. DO NOT allocate another 2D matrix and do the rotation. "
