Question ID,Question Title,Question Slug,Topic Tagged text,Topic Tagged ID,Question Text,Difficulty Level,Success Rate,total submission,total accepted,company tag,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text
31,Next Permutation,next-permutation,"Array,Two Pointers","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=","A permutation of an array of integers is an arrangement of its members into a sequence or linear order. The next permutation of an array of integers is the next lexicographically greater permutation of its integer. More formally, if all the permutations of the array are sorted in one container according to their lexicographical order, then the next permutation of that array is the permutation that follows it in the sorted container. If such arrangement is not possible, the array must be rearranged as the lowest possible order (i.e., sorted in ascending order). Given an array of integers nums, find the next permutation of nums. The replacement must be in place and use only constant extra memory. ",Medium,43.1,4298721,1853705,None,19999,4943,,"46,47,60,267,1978","Permutations,Permutations II,Permutation Sequence,Palindrome Permutation II,Minimum Adjacent Swaps to Reach the Kth Smallest Number"
32,Longest Valid Parentheses,longest-valid-parentheses,"String,Dynamic Programming,Stack","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE1","Given a string containing just the characters '(' and ')', return the length of the longest valid (well-formed) parentheses substring. ",Hard,36.4,2524427,918329,None,12857,437,,20,Valid Parentheses
33,Search in Rotated Sorted Array,search-in-rotated-sorted-array,"Array,Binary Search","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx","There is an integer array nums sorted in ascending order (with distinct values). Prior to being passed to your function, nums is possibly rotated at an unknown pivot index k (1 <= k < nums.length) such that the resulting array is [nums[k], nums[k+1], ..., nums[n-1], nums[0], nums[1], ..., nums[k-1]] (0-indexed). For example, [0,1,2,4,5,6,7] might be rotated at pivot index 3 and become [4,5,6,7,0,1,2]. Given the array nums after the possible rotation and an integer target, return the index of target if it is in nums, or -1 if it is not in nums. You must write an algorithm with O(log n) runtime complexity. ",Medium,42.9,8506513,3648444,None,28177,1708,,"81,153,2273","Search in Rotated Sorted Array II,Find Minimum in Rotated Sorted Array,Pour Water Between Buckets to Make Water Levels Equal"
34,Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array,"Array,Binary Search","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx","Given an array of integers nums sorted in non-decreasing order, find the starting and ending position of a given target value. If target is not found in the array, return [-1, -1]. You must write an algorithm with O(log n) runtime complexity. ",Medium,46.9,5801115,2720409,None,21960,581,,"278,2165,2210","First Bad Version,Plates Between Candles,Find Target Indices After Sorting Array"
35,Search Insert Position,search-insert-position,"Array,Binary Search","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx","Given a sorted array of distinct integers and a target value, return the index if the target is found. If not, return the index where it would be if it were inserted in order. You must write an algorithm with O(log n) runtime complexity. ",Easy,49.1,7918862,3886071,None,17547,830,,"278,3065","First Bad Version,Minimum Operations to Exceed Threshold Value I"
36,Valid Sudoku,valid-sudoku,"Array,Hash Table,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjYxMDUz",Determine if a 9 x 9 Sudoku board is valid. Only the filled cells need to be validated according to the following rules: Note: ,Medium,62.3,3244719,2022308,None,11575,1207,,"37,2254","Sudoku Solver,Check if Every Row and Column Contains All Numbers"
37,Sudoku Solver,sudoku-solver,"Array,Backtracking,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE0,VG9waWNUYWdOb2RlOjYxMDUz",Write a program to solve a Sudoku puzzle by filling the empty cells. A sudoku solution must satisfy all of the following rules: The '.' character indicates empty cells. ,Hard,64.0,1225835,783993,None,10244,297,,"36,1022","Valid Sudoku,Unique Paths III"
38,Count and Say,count-and-say,String,VG9waWNUYWdOb2RlOjEw,"The count-and-say sequence is a sequence of digit strings defined by the recursive formula: Run-length encoding (RLE) is a string compression method that works by replacing consecutive identical characters (repeated 2 or more times) with the concatenation of the character and the number marking the count of the characters (length of the run). For example, to compress the string ""3322251"" we replace ""33"" with ""23"", replace ""222"" with ""32"", replace ""5"" with ""15"" and replace ""1"" with ""11"". Thus the compressed string becomes ""23321511"". Given a positive integer n, return the nth element of the count-and-say sequence. ",Medium,60.6,2041399,1236403,None,4776,8863,"Create a helper function that maps an integer to pairs of its digits and their frequencies. For example, if you call this function with ""223314444411"", then it maps it to an array of pairs [[2,2], [3,2], [1,1], [4,5], [1, 2]]. Create another helper function that takes the array of pairs and creates a new integer. For example, if you call this function with [[2,2], [3,2], [1,1], [4,5], [1, 2]], it should create ""22""+""23""+""11""+""54""+""21"" = ""2223115421"". Now, with the two helper functions, you can start with ""1"" and call the two functions alternatively n-1 times. The answer is the last integer you will obtain.","271,443","Encode and Decode Strings,String Compression"
39,Combination Sum,combination-sum,"Array,Backtracking","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE0","Given an array of distinct integers candidates and a target integer target, return a list of all unique combinations of candidates where the chosen numbers sum to target. You may return the combinations in any order. The same number may be chosen from candidates an unlimited number of times. Two combinations are unique if the frequency of at least one of the chosen numbers is different. The test cases are generated such that the number of unique combinations that sum up to target is less than 150 combinations for the given input. ",Medium,74.7,3464704,2589534,None,19964,477,,"17,40,77,216,254,377,3183","Letter Combinations of a Phone Number,Combination Sum II,Combinations,Combination Sum III,Factor Combinations,Combination Sum IV,The Number of Ways to Make the Sum"
40,Combination Sum II,combination-sum-ii,"Array,Backtracking","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE0","Given a collection of candidate numbers (candidates) and a target number (target), find all unique combinations in candidates where the candidate numbers sum to target. Each number in candidates may only be used once in the combination. Note: The solution set must not contain duplicate combinations. ",Medium,57.7,2442303,1409733,None,11638,349,,39,Combination Sum
41,First Missing Positive,first-missing-positive,"Array,Hash Table","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=",Given an unsorted integer array nums. Return the smallest positive integer that is not present in nums. You must implement an algorithm that runs in O(n) time and uses O(1) auxiliary space. ,Hard,41.1,3613986,1486102,None,17602,1928,Think about how you would solve the problem in non-constant space.  Can you apply that logic to the existing space? We don't care about duplicates or non-positive integers Remember that O(2n) = O(n),"268,287,448,770,2336,2554,2598,2557,2996","Missing Number,Find the Duplicate Number,Find All Numbers Disappeared in an Array,Couples Holding Hands,Smallest Number in Infinite Set,Maximum Number of Integers to Choose From a Range I,Smallest Missing Non-negative Integer After Operations,Maximum Number of Integers to Choose From a Range II,Smallest Missing Integer Greater Than Sequential Prefix Sum"
42,Trapping Rain Water,trapping-rain-water,"Array,Two Pointers,Dynamic Programming,Stack,Monotonic Stack","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjYxMDU0","Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining. ",Hard,65.2,4415876,2877959,None,34287,607,,"11,238,407,756,2874","Container With Most Water,Product of Array Except Self,Trapping Rain Water II,Pour Water,Maximum Value of an Ordered Triplet II"
43,Multiply Strings,multiply-strings,"Math,String,Simulation","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDU1","Given two non-negative integers num1 and num2 represented as strings, return the product of num1 and num2, also represented as a string. Note: You must not use any built-in BigInteger library or convert the inputs to integer directly. ",Medium,42.3,2329577,985973,None,7402,3548,,"2,66,67,415,2288","Add Two Numbers,Plus One,Add Binary,Add Strings,Apply Discount to Prices"
44,Wildcard Matching,wildcard-matching,"String,Dynamic Programming,Greedy,Recursion","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjMx","Given an input string (s) and a pattern (p), implement wildcard pattern matching with support for '?' and '*' where: The matching should cover the entire input string (not partial). ",Hard,30.0,2429467,727875,None,8707,389,,"10,3407","Regular Expression Matching,Substring Matching Pattern"
45,Jump Game II,jump-game-ii,"Array,Dynamic Programming,Greedy","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE3","You are given a 0-indexed array of integers nums of length n. You are initially positioned at nums[0]. Each element nums[i] represents the maximum length of a forward jump from index i. In other words, if you are at nums[i], you can jump to any nums[i + j] where: Return the minimum number of jumps to reach nums[n - 1]. The test cases are generated such that you can reach nums[n - 1]. ",Medium,41.5,4228347,1756537,None,15608,663,,"55,1428,2001,2297,2617,2770,2786","Jump Game,Jump Game III,Jump Game VII,Jump Game VIII,Minimum Number of Visited Cells in a Grid,Maximum Number of Jumps to Reach the Last Index,Visit Array Positions to Maximize Score"
46,Permutations,permutations,"Array,Backtracking","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE0","Given an array nums of distinct integers, return all the possible permutations. You can return the answer in any order. ",Medium,80.7,3268274,2637592,None,20008,357,,"31,47,60,77","Next Permutation,Permutations II,Permutation Sequence,Combinations"
47,Permutations II,permutations-ii,"Array,Backtracking","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE0","Given a collection of numbers, nums, that might contain duplicates, return all possible unique permutations in any order. ",Medium,61.6,1815410,1119109,None,8839,155,,"31,46,267,1038","Next Permutation,Permutations,Palindrome Permutation II,Number of Squareful Arrays"
48,Rotate Image,rotate-image,"Array,Math,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjYxMDUz","You are given an n x n 2D matrix representing an image, rotate the image by 90 degrees (clockwise). You have to rotate the image in-place, which means you have to modify the input 2D matrix directly. DO NOT allocate another 2D matrix and do the rotation. ",Medium,78.0,2989490,2330566,None,18787,901,,2015,Determine Whether Matrix Can Be Obtained By Rotation
49,Group Anagrams,group-anagrams,"Hash Table,String,Sorting","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDQ5","Given an array of strings strs, group the anagrams together. You can return the answer in any order. ",Medium,71.0,5436565,3858467,None,20630,696,,"242,249,2273,2514","Valid Anagram,Group Shifted Strings,Find Resultant Array After Removing Anagrams,Count Anagrams"
