Question Title,Question Slug,Question ID,Question Text,Topic Tagged text,Topic Tagged ID,Difficulty Level,Success Rate,total submission,total accepted,company tag,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text
Word Search II,word-search-ii,212,"Given an m x n board of characters and a list of strings words, return all words on the board. Each word must be constructed from letters of sequentially adjacent cells, where adjacent cells are horizontally or vertically neighboring. The same letter cell may not be used more than once in a word. ","Array,String,Backtracking,Trie,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE0,VG9waWNUYWdOb2RlOjI3,VG9waWNUYWdOb2RlOjYxMDUz",Hard,37.4,2137587,798445,,9841,496,"You would need to optimize your backtracking to pass the larger test. Could you stop backtracking earlier? If the current candidate does not exist in all words' prefix, you could stop backtracking immediately. What kind of data structure could answer such query efficiently? Does a hash table work? Why or why not? How about a Trie? If you would like to learn how to implement a basic trie, please work on this problem: Implement Trie (Prefix Tree) first.","79,1022,1433","Word Search,Unique Paths III,Encrypt and Decrypt Strings"
House Robber II,house-robber-ii,213,"You are a professional robber planning to rob houses along a street. Each house has a certain amount of money stashed. All houses at this place are arranged in a circle. That means the first house is the neighbor of the last one. Meanwhile, adjacent houses have a security system connected, and it will automatically contact the police if two adjacent houses were broken into on the same night. Given an integer array nums representing the amount of money of each house, return the maximum amount of money you can rob tonight without alerting the police. ","Array,Dynamic Programming","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz",Medium,43.6,2334505,1018050,,10530,173,"Since House[1] and House[n] are adjacent, they cannot be robbed together. Therefore, the problem becomes to rob either House[1]-House[n-1] or House[2]-House[n], depending on which choice offers more money. Now the problem has degenerated to the House Robber, which is already been solved.","198,256,276,337,600,656","House Robber,Paint House,Paint Fence,House Robber III,Non-negative Integers without Consecutive Ones,Coin Path"
Shortest Palindrome,shortest-palindrome,214,You are given a string s. You can convert s to a palindrome by adding characters in front of it. Return the shortest palindrome you can find by performing this transformation. ,"String,Rolling Hash,String Matching,Hash Function","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjU2NTk4,VG9waWNUYWdOb2RlOjYxMDUy,VG9waWNUYWdOb2RlOjYxMDY1",Hard,40.7,764840,311251,,4397,282,,"5,28,336,2510,3812","Longest Palindromic Substring,Find the Index of the First Occurrence in a String,Palindrome Pairs,Maximum Deletions on a String,Smallest Palindromic Rearrangement I"
Kth Largest Element in an Array,kth-largest-element-in-an-array,215,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in the sorted order, not the kth distinct element. Can you solve it without sorting? ","Array,Divide and Conquer,Sorting,Heap (Priority Queue),Quickselect","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEy,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDUw,VG9waWNUYWdOb2RlOjYxMDY5",Medium,68.0,4488811,3053252,,17966,941,,"324,347,414,789,1014,2113,2204,2250","Wiggle Sort II,Top K Frequent Elements,Third Maximum Number,Kth Largest Element in a Stream,K Closest Points to Origin,Find the Kth Largest Integer in the Array,Find Subsequence of Length K With the Largest Sum,K Highest Ranked Items Within a Price Range"
Combination Sum III,combination-sum-iii,216,"Find all valid combinations of k numbers that sum up to n such that the following conditions are true: Return a list of all possible valid combinations. The list must not contain the same combination twice, and the combinations may be returned in any order. ","Array,Backtracking","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE0",Medium,71.9,938003,674825,,6365,118,,39,Combination Sum
Contains Duplicate,contains-duplicate,217,"Given an integer array nums, return true if any value appears at least twice in the array, and return false if every element is distinct. ","Array,Hash Table,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjYxMDQ5",Easy,63.3,8277846,5236658,,12952,1331,,"219,220,2436,3736","Contains Duplicate II,Contains Duplicate III,Make Array Zero by Subtracting Equal Amounts,Find Valid Pair of Adjacent Digits in String"
The Skyline Problem,the-skyline-problem,218,"A city's skyline is the outer contour of the silhouette formed by all the buildings in that city when viewed from a distance. Given the locations and heights of all the buildings, return the skyline formed by these buildings collectively. The geometric information of each building is given in the array buildings where buildings[i] = [lefti, righti, heighti]: You may assume all buildings are perfect rectangles grounded on an absolutely flat surface at height 0. The skyline should be represented as a list of ""key points"" sorted by their x-coordinate in the form [[x1,y1],[x2,y2],...]. Each key point is the left endpoint of some horizontal segment in the skyline except the last point in the list, which always has a y-coordinate 0 and is used to mark the skyline's termination where the rightmost building ends. Any ground between the leftmost and rightmost buildings should be part of the skyline's contour. Note: There must be no consecutive horizontal lines of equal height in the output skyline. For instance, [...,[2 3],[4 5],[7 5],[11 5],[12 7],...] is not acceptable; the three lines of height 5 should be merged into one in the final output as such: [...,[2 3],[4 5],[12 7],...] ","Array,Divide and Conquer,Binary Indexed Tree,Segment Tree,Line Sweep,Heap (Priority Queue),Ordered Set","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEy,VG9waWNUYWdOb2RlOjI4,VG9waWNUYWdOb2RlOjI5,VG9waWNUYWdOb2RlOjU2MTE5,VG9waWNUYWdOb2RlOjYxMDUw,VG9waWNUYWdOb2RlOjYxMDcw",Hard,44.0,732882,322415,,6068,276,,"699,2465","Falling Squares,Shifting Letters II"
Contains Duplicate II,contains-duplicate-ii,219,"Given an integer array nums and an integer k, return true if there are two distinct indices i and j in the array such that nums[i] == nums[j] and abs(i - j) <= k. ","Array,Hash Table,Sliding Window","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjU1ODIx",Easy,49.1,2819372,1384441,,6789,3229,,"217,220","Contains Duplicate,Contains Duplicate III"
Contains Duplicate III,contains-duplicate-iii,220,"You are given an integer array nums and two integers indexDiff and valueDiff. Find a pair of indices (i, j) such that: Return true if such pair exists or false otherwise. ","Array,Sliding Window,Sorting,Bucket Sort,Ordered Set","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjU1ODIx,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDYw,VG9waWNUYWdOb2RlOjYxMDcw",Hard,23.7,1201137,284075,,1159,123,"Time complexity O(n logk)  - This will give an indication that sorting is involved for k elements. Use already existing state to evaluate next state  -  Like, a set of k sorted numbers are only needed to be tracked. When we are processing the next number in array, then we can utilize the existing sorted state and it is not necessary to sort next overlapping set of k numbers again.","217,219","Contains Duplicate,Contains Duplicate II"
Maximal Square,maximal-square,221,"Given an m x n binary matrix filled with 0's and 1's, find the largest square containing only 1's and return its area. ","Array,Dynamic Programming,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjYxMDUz",Medium,48.8,1686950,823357,,10629,248,,"85,769,1312,2200,3214","Maximal Rectangle,Largest Plus Sign,Count Artifacts That Can Be Extracted,Stamping the Grid,Maximize Area of Square Hole in Grid"
Count Complete Tree Nodes,count-complete-tree-nodes,222,"Given the root of a complete binary tree, return the number of the nodes in the tree. According to Wikipedia, every level, except possibly the last, is completely filled in a complete binary tree, and all nodes in the last level are as far left as possible. It can have between 1 and 2h nodes inclusive at the last level h. Design an algorithm that runs in less than O(n) time complexity. ","Binary Search,Bit Manipulation,Tree,Binary Tree","VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjE5,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjYxMDU3",Easy,70.1,1397507,979044,,9126,579,,270,Closest Binary Search Tree Value
Rectangle Area,rectangle-area,223,"Given the coordinates of two rectilinear rectangles in a 2D plane, return the total area covered by the two rectangles. The first rectangle is defined by its bottom-left corner (ax1, ay1) and its top-right corner (ax2, ay2). The second rectangle is defined by its bottom-left corner (bx1, by1) and its top-right corner (bx2, by2). ","Math,Geometry","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjM4",Medium,47.4,529004,250741,,2063,1657,,"866,3277,3278,3325","Rectangle Overlap,Find the Number of Ways to Place People II,Find the Number of Ways to Place People I,Find the Largest Area of Square Inside Two Rectangles"
Basic Calculator,basic-calculator,224,"Given a string s representing a valid expression, implement a basic calculator to evaluate it, and return the result of the evaluation. Note: You are not allowed to use any built-in function which evaluates strings as mathematical expressions, such as eval(). ","Math,String,Stack,Recursion","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjMx",Hard,45.6,1326568,605559,,6670,538,,"150,227,241,282,785,2147,2328","Evaluate Reverse Polish Notation,Basic Calculator II,Different Ways to Add Parentheses,Expression Add Operators,Basic Calculator III,The Score of Students Solving Math Expression,Minimize Result by Adding Parentheses to Expression"
Implement Stack using Queues,implement-stack-using-queues,225,"Implement a last-in-first-out (LIFO) stack using only two queues. The implemented stack should support all the functions of a normal stack (push, top, pop, and empty). Implement the MyStack class: Notes: ","Stack,Design,Queue","VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjM0",Easy,67.4,1369536,923549,,6516,1256,,232,Implement Queue using Stacks
Invert Binary Tree,invert-binary-tree,226,"Given the root of a binary tree, invert the tree, and return its root. ","Tree,Depth-First Search,Breadth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjYxMDU3",Easy,79.1,3332086,2634105,,14668,245,,2493,Reverse Odd Levels of Binary Tree
Basic Calculator II,basic-calculator-ii,227,"Given a string s which represents an expression, evaluate this expression and return its value. The integer division should truncate toward zero. You may assume that the given expression is always valid. All intermediate results will be in the range of [-231, 231 - 1]. Note: You are not allowed to use any built-in function which evaluates strings as mathematical expressions, such as eval(). ","Math,String,Stack","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE1",Medium,45.8,1837185,842321,,6432,925,,"224,282,785","Basic Calculator,Expression Add Operators,Basic Calculator III"
Summary Ranges,summary-ranges,228,"You are given a sorted unique integer array nums. A range [a,b] is the set of all integers from a to b (inclusive). Return the smallest sorted list of ranges that cover all the numbers in the array exactly. That is, each element of nums is covered by exactly one of the ranges, and there is no integer x such that x is in one of the ranges but not in nums. Each range [a,b] in the list should be output as: ",Array,VG9waWNUYWdOb2RlOjU=,Easy,53.0,1506686,799231,,4309,2327,,"163,352,2815","Missing Ranges,Data Stream as Disjoint Intervals,Find Maximal Uncovered Ranges"
Majority Element II,majority-element-ii,229,"Given an integer array of size n, find all elements that appear more than ⌊ n/3 ⌋ times. ","Array,Hash Table,Sorting,Counting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDYy",Medium,54.4,1823768,992954,,10388,466,"Think about the possible number of elements that can appear more than ⌊ n/3 ⌋ times in the array. It can be at most two. Why? Consider using Boyer-Moore Voting Algorithm, which is efficient for finding elements that appear more than a certain threshold.","169,1102,2486","Majority Element,Check If a Number Is Majority Element in a Sorted Array,Most Frequent Even Element"
Kth Smallest Element in a BST,kth-smallest-element-in-a-bst,230,"Given the root of a binary search tree, and an integer k, return the kth smallest value (1-indexed) of all the values of the nodes in the tree. ","Tree,Depth-First Search,Binary Search Tree,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjMw,VG9waWNUYWdOb2RlOjYxMDU3",Medium,75.4,2517627,1897811,,12134,244,Try to utilize the property of a BST. Try in-order traversal. (Credits to @chan13) What if you could modify the BST node's structure? The optimal runtime complexity is O(height of BST).,"94,671","Binary Tree Inorder Traversal,Second Minimum Node In a Binary Tree"
Power of Two,power-of-two,231,"Given an integer n, return true if it is a power of two. Otherwise, return false. An integer n is a power of two, if there exists an integer x such that n == 2x. ","Math,Bit Manipulation,Recursion","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjE5,VG9waWNUYWdOb2RlOjMx",Easy,48.4,3536584,1711730,,7294,469,,"191,326,342","Number of 1 Bits,Power of Three,Power of Four"
Implement Queue using Stacks,implement-queue-using-stacks,232,"Implement a first in first out (FIFO) queue using only two stacks. The implemented queue should support all the functions of a normal queue (push, peek, pop, and empty). Implement the MyQueue class: Notes: ","Stack,Design,Queue","VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjM0",Easy,68.1,1781588,1213467,,8140,461,,225,Implement Stack using Queues
Number of Digit One,number-of-digit-one,233,"Given an integer n, count the total number of digit 1 appearing in all non-negative integers less than or equal to n. ","Math,Dynamic Programming,Recursion","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjMx",Hard,36.0,322771,116271,,1694,1516,Beware of overflow.,"172,1068","Factorial Trailing Zeroes,Digit Count in Range"
Palindrome Linked List,palindrome-linked-list,234,"Given the head of a singly linked list, return true if it is a palindrome or false otherwise. ","Linked List,Two Pointers,Stack,Recursion","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjMx",Easy,55.9,4385052,2452554,,17462,938,,"9,125,206,2236","Palindrome Number,Valid Palindrome,Reverse Linked List,Maximum Twin Sum of a Linked List"
Lowest Common Ancestor of a Binary Search Tree,lowest-common-ancestor-of-a-binary-search-tree,235,"Given a binary search tree (BST), find the lowest common ancestor (LCA) node of two given nodes in the BST. According to the definition of LCA on Wikipedia: “The lowest common ancestor is defined between two nodes p and q as the lowest node in T that has both p and q as descendants (where we allow a node to be a descendant of itself).” ","Tree,Depth-First Search,Binary Search Tree,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjMw,VG9waWNUYWdOb2RlOjYxMDU3",Medium,68.4,2817780,1927092,,11763,336,,"236,1190,1780,1790,1816","Lowest Common Ancestor of a Binary Tree,Smallest Common Region,Lowest Common Ancestor of a Binary Tree II,Lowest Common Ancestor of a Binary Tree III,Lowest Common Ancestor of a Binary Tree IV"
Lowest Common Ancestor of a Binary Tree,lowest-common-ancestor-of-a-binary-tree,236,"Given a binary tree, find the lowest common ancestor (LCA) of two given nodes in the tree. According to the definition of LCA on Wikipedia: “The lowest common ancestor is defined between two nodes p and q as the lowest node in T that has both p and q as descendants (where we allow a node to be a descendant of itself).” ","Tree,Depth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjYxMDU3",Medium,66.8,3273781,2188505,,17724,471,,"235,1190,1354,1780,1790,1816,2217,2597","Lowest Common Ancestor of a Binary Search Tree,Smallest Common Region,Find Players With Zero or One Losses,Lowest Common Ancestor of a Binary Tree II,Lowest Common Ancestor of a Binary Tree III,Lowest Common Ancestor of a Binary Tree IV,Step-By-Step Directions From a Binary Tree Node to Another,Cycle Length Queries in a Tree"
Delete Node in a Linked List,delete-node-in-a-linked-list,237,"There is a singly-linked list head and we want to delete a node node in it. You are given the node to be deleted node. You will not be given access to the first node of head. All the values of the linked list are unique, and it is guaranteed that the given node node is not the last node in the linked list. Delete the given node. Note that by deleting the node, we do not mean removing it from memory. We mean: Custom testing: ",Linked List,VG9waWNUYWdOb2RlOjc=,Medium,82.4,2115998,1743007,,5750,1704,,"203,2573,3501","Remove Linked List Elements,Remove Nodes From Linked List,Delete Nodes From Linked List Present in Array"
Product of Array Except Self,product-of-array-except-self,238,"Given an integer array nums, return an array answer such that answer[i] is equal to the product of all the elements of nums except nums[i]. The product of any prefix or suffix of nums is guaranteed to fit in a 32-bit integer. You must write an algorithm that runs in O(n) time and without using the division operation. ","Array,Prefix Sum","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjYxMDY4",Medium,67.8,5463384,3704120,,24287,1573,Think how you can efficiently utilize prefix and suffix products to calculate the product of all elements except self for each index. Can you pre-compute the prefix and suffix products in linear time to avoid redundant calculations? Can you minimize additional space usage by reusing memory or modifying the input array to store intermediate results?,"42,152,265,2267,3031,3851","Trapping Rain Water,Maximum Product Subarray,Paint House II,Minimum Difference in Sums After Removal of Elements,Construct Product Matrix,Find Sum of Array Product of Magical Sequences"
Sliding Window Maximum,sliding-window-maximum,239,"You are given an array of integers nums, there is a sliding window of size k which is moving from the very left of the array to the very right. You can only see the k numbers in the window. Each time the sliding window moves right by one position. Return the max sliding window. ","Array,Queue,Sliding Window,Heap (Priority Queue),Monotonic Queue","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjM0,VG9waWNUYWdOb2RlOjU1ODIx,VG9waWNUYWdOb2RlOjYxMDUw,VG9waWNUYWdOb2RlOjYxMDcx",Hard,47.6,2823754,1345031,,19303,761,How about using a data structure such as deque (double-ended queue)? The queue size need not be the same as the window’s size. Remove redundant elements and the queue should store only elements that need to be considered.,"76,155,159,265,1814,2449,2600,2616","Minimum Window Substring,Min Stack,Longest Substring with At Most Two Distinct Characters,Paint House II,Jump Game VI,Maximum Number of Robots Within Budget,Maximum Tastiness of Candy Basket,Maximal Score After Applying K Operations"
Search a 2D Matrix II,search-a-2d-matrix-ii,240,Write an efficient algorithm that searches for a value target in an m x n integer matrix matrix. This matrix has the following properties: ,"Array,Binary Search,Divide and Conquer,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjEy,VG9waWNUYWdOb2RlOjYxMDUz",Medium,55.3,2102617,1162592,,12532,219,,74,Search a 2D Matrix
Different Ways to Add Parentheses,different-ways-to-add-parentheses,241,"Given a string expression of numbers and operators, return all possible results from computing all the different possible ways to group numbers and operators. You may return the answer in any order. The test cases are generated such that the output values fit in a 32-bit integer and the number of different results does not exceed 104. ","Math,String,Dynamic Programming,Recursion,Memoization","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjMx,VG9waWNUYWdOb2RlOjMz",Medium,72.4,482556,349259,,6197,386,,"95,224,282,2147,2328","Unique Binary Search Trees II,Basic Calculator,Expression Add Operators,The Score of Students Solving Math Expression,Minimize Result by Adding Parentheses to Expression"
Valid Anagram,valid-anagram,242,"Given two strings s and t, return true if t is an anagram of s, and false otherwise. ","Hash Table,String,Sorting","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDQ5",Easy,66.7,7310957,4876679,,13132,434,,"49,266,438,1353","Group Anagrams,Palindrome Permutation,Find All Anagrams in a String,Find Resultant Array After Removing Anagrams"
Shortest Word Distance,shortest-word-distance,243,,"Array,String","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEw",Easy,66.0,354053,233515,,1286,122,,"244,245,2320","Shortest Word Distance II,Shortest Word Distance III,Find All K-Distant Indices in an Array"
Shortest Word Distance II,shortest-word-distance-ii,244,,"Array,Hash Table,Two Pointers,String,Design","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjI1",Medium,62.1,270322,167968,,1073,380,,"21,243,245","Merge Two Sorted Lists,Shortest Word Distance,Shortest Word Distance III"
Shortest Word Distance III,shortest-word-distance-iii,245,,"Array,String","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEw",Medium,59.1,150555,88988,,511,100,,"243,244","Shortest Word Distance,Shortest Word Distance II"
Strobogrammatic Number,strobogrammatic-number,246,,"Hash Table,Two Pointers,String","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEw",Easy,47.6,415414,197750,,619,1039,,"247,248,1069","Strobogrammatic Number II,Strobogrammatic Number III,Confusing Number"
Strobogrammatic Number II,strobogrammatic-number-ii,247,,"Array,String,Recursion","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjMx",Medium,53.2,292758,155800,,946,261,Try to use recursion and notice that it should recurse with n - 2 instead of n - 1.,"246,248,2202","Strobogrammatic Number,Strobogrammatic Number III,Sum of k-Mirror Numbers"
